source,restaurant_id,restaurant_name,restaurant_url,city,category,total_reviews,restaurant_rating,review_id,reviewer_id,review_text,rating,review_date,crawl_timestamp
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661172,,Gà dai ăn rất ngọt thịt,0,24/06/2023,2026-09-18T21:37:31.620671
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,8.4,17661164,,"Gà dai, ngon hấp dẫn",0,24/06/2023,2026-09-18T21:37:31.620671
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,10,17661169,,"Ngon, thơm, sạch sẽ",0,24/06/2023,2026-09-18T21:37:31.620671
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,9.8,17661170,,Gà dai..thịt rất thơm,0,24/06/2023,2026-09-18T21:37:31.620671
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17661165,,Gà dai ko bị bở ngon lắm,0,24/06/2023,2026-09-18T21:37:31.620671
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17659251,,Tiệm gà này ngon.gà ăn dai thơm thịt,0,24/06/2023,2026-09-18T21:37:31.620671
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17659180,,"Gà rất ngon, gà vườn nên dai lắm mn ơi",0,23/06/2023,2026-09-18T21:37:32.807233
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,10,17658345,,Ngon lắm ạ.sẽ ủng hộ tiếp,0,23/06/2023,2026-09-18T21:37:32.807233
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17658072,,gà rất ngon ạ,0,23/06/2023,2026-09-18T21:37:32.807233
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,10,17658063,,Gà rất ngon và chất lượng,0,23/06/2023,2026-09-18T21:37:32.807233
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,10,17657988,,Thịt gà dai ngon ngọt .phục vụ nhiệt tình,0,23/06/2023,2026-09-18T21:37:32.807233
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17657981,,ga luoc ma ăn voi hanh ngon nhựt nach,0,23/06/2023,2026-09-18T21:37:32.807233
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,8.4,17657973,,"Thịt ngon,ngọt. Rất ưng luôn",0,23/06/2023,2026-09-18T21:37:32.807233
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17657963,,Gà thượng hạn. Dai.  Ngon lắm nha,0,23/06/2023,2026-09-18T21:37:32.807233
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17657962,,"Ngon lắm nha cả nha, nên dùng thử nè",0,23/06/2023,2026-09-18T21:37:32.807233
Foody,272138,Gà Chỉ Sáu Cao,https://www.foody.vn/quang-binh/gà-chỉ-sáu-cao-272138,Quy Nhơn,Quán ăn / Đặc sản,272,5,17657960,,Thịt gà ngon,0,23/06/2023,2026-09-18T21:37:32.807233
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,7.6,18115381,,Hương vị đậm đà,0,14/11/2023,2026-09-18T21:37:33.937865
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,5,18115084,,Hương vị đậm đà,0,14/11/2023,2026-09-18T21:37:33.937865
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,8.6,18115069,,HƯƠNG VỊ ĐẬM ĐÀ,0,14/11/2023,2026-09-18T21:37:33.937865
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,10,18114826,,Huong vị đậm đà,0,14/11/2023,2026-09-18T21:37:33.937865
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,5,18114786,,Hương vị đậm đà,0,14/11/2023,2026-09-18T21:37:33.937865
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,10,18114755,,Ok,0,14/11/2023,2026-09-18T21:37:33.937865
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,5,18114738,,Hương vị đậm đã,0,14/11/2023,2026-09-18T21:37:33.937865
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,10,18114725,,Hương vị đậm đà,0,14/11/2023,2026-09-18T21:37:33.937865
Foody,138063,Mộc Viên Restaurant,https://www.foody.vn/quang-binh/mộc-viên-restaurant-138063,Quy Nhơn,Quán ăn / Đặc sản,93,10,18114719,,Hương vị đậm đà,0,14/11/2023,2026-09-18T21:37:33.937865
